,GAME_DATE,Player_Name,MATCHUP,PTS_PROP,REB_PROP,AST_PROP,BLK_PROP,STL_PROP,3PTS_PROP,PRA_PROP,PR_PROP,PA_PROP,RA_PROP,Player_ID,SEASON_ID
202,2022-02-07,Luguentz Dort,OKC vs. GSW,18.5,4.5,1.5,,,,,,,,1629652.0,22021
203,2022-02-07,Fred VanVleet,TOR @ CHA,20.5,4.5,,,1.5,3.5,,,,,1627832.0,22021
204,2022-02-07,Mike Conley,UTH vs. NYK,12.5,3.5,4.5,0.5,0.5,1.5,,,,,201144.0,22021
205,2022-02-07,Bam Adebayo,MIA @ WAS,20.5,11.5,4.5,0.5,1.5,,,,,,1628389.0,22021
206,2022-02-07,Duncan Robinson,MIA @ WAS,13.5,2.5,1.5,0.5,,3.5,,,,,1629130.0,22021
207,2022-02-07,Chris Paul,PHO @ CHI,15.5,4.5,11.5,,1.5,1.5,,,,,101108.0,22021
208,2022-02-07,RJ Barrett,NYK @ UTH,21.5,5.5,2.5,0.5,0.5,2.5,,,,,1629628.0,22021
209,2022-02-07,Donovan Mitchell,UTH vs. NYK,23.5,4.5,4.5,0.5,1.5,,,,,,1628378.0,22021
210,2022-02-07,Deandre Ayton,PHO @ CHI,16.5,10.5,,0.5,,0.5,,,,,1629028.0,22021
211,2022-02-07,Max Strus,MIA @ WAS,10.5,2.5,0.5,,,,,,,,1629622.0,22021
212,2022-02-07,Andrew Wiggins,GSW @ OKC,16.5,4.5,2.5,0.5,0.5,1.5,,,,,203952.0,22021
213,2022-02-07,Darius Bazley,OKC vs. GSW,,8.5,1.5,0.5,0.5,1.5,,,,,1629647.0,22021
214,2022-02-07,Jimmy Butler,MIA @ WAS,21.5,,5.5,,,,,,,,202710.0,22021
215,2022-02-07,Thomas Bryant,WAS vs. MIA,8.5,,0.5,,,0.5,,,,,1628418.0,22021
216,2022-02-07,P.J. Washington,CHA vs. TOR,9.5,5.5,1.5,0.5,0.5,1.5,,,,,1629023.0,22021
217,2022-02-07,Gordon Hayward,CHA vs. TOR,13.5,,3.5,,0.5,1.5,,,,,202330.0,22021
218,2022-02-07,Pascal Siakam,TOR @ CHA,21.5,9.5,5.5,0.5,1.5,1.5,,,,,1627783.0,22021
219,2022-02-07,LaMelo Ball,CHA vs. TOR,18.5,6.5,7.5,,1.5,,,,,,1630163.0,22021
